Price,Open,High,Low,Close,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2023-01-03,372.69934036281455,374.696790062297,366.35790658384224,369.25714111328125,74850700
2023-01-04,371.5454127025299,374.16344383395204,368.4619748568753,372.1078186035156,85934100
2023-01-05,370.1297558589303,370.24610753892307,367.2596392522316,367.8608093261719,76970500
2023-01-06,370.9927766316236,377.43118013809504,367.8899561679869,376.29669189453125,104189600
2023-01-09,378.51708009701446,381.74598693229115,375.89907871834697,376.0832824707031,73978100
2023-01-10,375.49182581586547,378.78858479831536,374.5415711623446,378.720703125,65358100
2023-01-11,380.32065837354753,383.58832970359543,379.49646116309526,383.5107421875,68881100
2023-01-12,384.6258395750699,386.39055604862517,380.5048832061513,384.9070129394531,90157700
2023-01-13,381.66837590242943,386.9819954314796,381.39687882231516,386.40020751953125,63903900
2023-01-17,386.38084618089556,388.0777104204415,385.00394903506844,385.6923828125,62677300
2023-01-18,386.89480690750094,387.9710896015496,379.39950344455025,379.6031188964844,99632300
2023-01-19,377.5377707341088,379.20554721591105,375.50155712424066,376.83966064453125,86958900
2023-01-20,378.25533307328743,384.0149782072945,376.58755654305355,383.8598327636719,91806400
2023-01-23,384.6742627059418,390.4242010841149,383.70462603140487,388.4655456542969,84178800
2023-01-24,386.7687173884597,388.9697821912986,385.56637726949504,388.04864501953125,59524900
2023-01-25,383.9276958720154,388.53347058894747,381.6102497581479,388.194091796875,84800300
2023-01-26,390.88964251974176,392.62530047562916,387.8837628706581,392.46044921875,72287400
2023-01-27,391.4035880003109,395.766953530763,391.1902667240724,393.36224365234375,68346200
2023-01-30,390.56967729630395,392.8289475307978,388.1262033000586,388.4267883300781,74202000
2023-01-31,388.9503771506525,394.18640945210655,388.6012925487081,394.137939453125,86811800
2023-02-01,392.90654621373955,401.1096954061681,390.13339898045155,398.3268127441406,101459200
2023-02-02,402.2634979963016,405.6087567041384,400.3436361213397,404.1252136230469,101654500
2023-02-03,399.0928089907834,404.3094597358688,398.6079905883177,399.8297424316406,94736800
2023-02-06,397.3474663028563,398.8019214799618,395.7087777693734,397.38623046875,60295300
2023-02-07,396.45535450391685,403.8439814552216,395.19483862486715,402.5834655761719,90990700
2023-02-08,400.58601460035635,401.94350006214603,397.4831653240111,398.1813049316406,76227500
2023-02-09,401.8272105129332,401.98235595983147,393.4883276857042,394.7294616699219,78694900
2023-02-10,393.5367735557989,396.0384530460212,392.71260595671595,395.6506042480469,70769700
2023-02-13,396.30991235569826,400.4308683218395,395.8444760879518,400.29510498046875,64913500
2023-02-14,398.7534162442866,402.44772997458745,396.10632679762597,400.1109313964844,88389300
2023-02-15,397.8904917807591,401.4878362491568,397.0372066086287,401.4102783203125,61555700
2023-02-16,396.37779444924473,400.3726929143646,395.74753651312,395.8832702636719,76431500
2023-02-17,393.7307719845891,395.13675737860495,391.78179227352587,394.89434814453125,89257800
2023-02-21,390.82181039477337,391.8884168043037,386.7105597881842,386.97235107421875,82655900
2023-02-22,387.38928151695194,388.9504121435248,384.9651895305076,386.4390563964844,83742300
2023-02-23,389.3673265707917,389.98790828745507,384.2185578536453,388.4946594238281,96242400
2023-02-24,383.41379197815615,385.1882142813148,381.68783967804217,384.3446350097656,108194400
2023-02-27,387.7286020117849,389.1054990730712,384.70334040215556,385.6535949707031,80444700
2023-02-28,385.16878973170213,387.15653309283937,384.121565544507,384.2282409667969,96438600
2023-03-01,383.40406416241154,384.64519799706466,381.4357027779782,382.75439453125,99706800
2023-03-02,380.75692968234125,386.58445567908757,380.4175509214408,385.7311706542969,85127800
2023-03-03,387.57352735400747,392.1696260301451,386.91418141429745,391.9175109863281,90120000
2023-03-06,392.7513716819784,395.0785236609956,391.74297072143537,392.1889953613281,72795900
2023-03-07,392.14056720522296,392.3829764296587,385.5567243840769,386.1772766113281,108310600
2023-03-08,386.2935583598618,387.57345624595627,384.54819463906756,386.8074645996094,74746600
2023-03-09,387.60258090246896,389.2897689515942,378.67223481429073,379.67095947265625,111945300
2023-03-10,379.1182772501416,381.22240209446096,372.65081646253805,374.1925354003906,189253000
2023-03-13,370.21704175618794,378.53654246473604,369.09225946405695,373.65924072265625,157790000
2023-03-14,378.6431819939984,381.50362247797136,375.29792309518035,379.8358459472656,149752400
2023-03-15,374.1731517764956,377.6638205167476,372.0593211039184,377.460205078125,172996900
2023-03-16,375.07489019649023,384.43187880252935,374.5609839088498,384.0827941894531,143254200
2023-03-17,382.73574852805046,383.88427957586276,378.19024962323573,379.59185791015625,140553400
2023-03-20,380.3802678130495,383.66044000734365,379.6697504771367,383.24188232421875,93055800
2023-03-21,386.6485004518863,388.7606554675455,385.0327569656362,388.27398681640625,91524200
2023-03-22,388.0988533633796,391.7585819883391,381.61642236134196,381.65533447265625,111746600
2023-03-23,384.5558945656442,388.64392379045967,379.9422844977912,382.6871032714844,119351300
2023-03-24,381.39255015572286,385.2859000303675,379.01760435587744,385.19830322265625,107682400
2023-03-27,387.50509334943473,388.2837811167207,385.0133519019217,385.9185485839844,74010400
2023-03-28,385.2177273330947,385.9185314405702,383.1931986358876,385.0522766113281,62871700
2023-03-29,389.2668041746503,390.89229063940246,388.0501324717786,390.6489562988281,77497900
2023-03-30,393.31592649139174,393.5690037335665,391.0480633032695,392.93634033203125,69840000
2023-03-31,393.870682650069,398.7763110496776,393.76360009906665,398.4745788574219,112062600
2023-04-03,397.9489970190578,400.4017965433798,397.54992512551536,399.9930114746094,67391100
2023-04-04,400.6451619231403,400.93718098449506,396.38193908091915,397.7738342285156,66601500
2023-04-05,397.03403199927317,397.80297680349037,395.05815841671335,396.7322998046875,65200200
2023-04-06,395.9244481388538,398.5622139105367,394.86351392490366,398.2799377441406,63743300
2023-04-10,395.76867819040456,398.76657380626693,395.14575774413447,398.6886901855469,63681000
2023-04-11,399.321447963788,400.21690181997883,398.01717929227317,398.79583740234375,59297900
2023-04-12,400.88844383851193,401.18046286166015,396.57656656882966,397.1702880859375,86420400
2023-04-13,398.2701751757108,402.8059308530377,397.11190133710227,402.44580078125,85814800
2023-04-14,401.80341206988373,404.0226201667192,399.12673420421424,401.4627380371094,78161500
2023-04-17,401.37514293257703,402.92274584971403,400.1292722361705,402.9032897949219,66436400
2023-04-18,404.49954414726284,404.6358256413118,401.77421130528586,403.16607666015625,63560000
2023-04-19,401.22911018897685,404.01284065902394,401.1707123262414,403.0979309082031,55227300
2023-04-20,400.24607473164843,402.6697051216665,399.3311351746603,400.8982238769531,75840400
2023-04-21,401.1999739169316,401.6768997717229,399.2338429220081,401.209716796875,73457400
2023-04-24,401.00528464032885,402.0565057155857,399.65236103720025,401.62823486328125,64332100
2023-04-25,399.63288728844816,400.1974396579536,395.1944707801746,395.25286865234375,97766700
2023-04-26,395.87582728655804,396.96596052869705,393.0142126739916,393.5787353515625,80447000
2023-04-27,396.14833395750776,401.686626309786,395.89525672049297,401.4140930175781,92968400
2023-04-28,400.518589610738,404.8499528400004,400.4601917441596,404.8402099609375,89335600
2023-05-01,404.3924851893981,406.4851546297592,404.1978058305228,404.4314270019531,62122300
2023-05-02,403.7111340641636,403.75981875546177,396.9464571012848,399.88592529296875,103998500
2023-05-03,400.39202584923754,402.8351120286117,396.8977484335795,397.1410827636719,91531800
2023-05-04,396.08018147546466,396.41111262734955,392.97523278984136,394.32818603515625,94901900
2023-05-05,398.00741837809966,402.6891691143394,397.74462796123623,401.62823486328125,87844000
2023-05-08,401.95913830017594,402.2219286989101,400.3141957545555,401.7352600097656,50046800
2023-05-09,400.1682206264883,401.102616238175,399.73994978281917,399.9735412597656,49220100
2023-05-10,402.8448519182144,403.48725810935963,397.968422474097,401.8423156738281,96142900
2023-05-11,400.9663469272877,401.4335298607705,399.0391282149725,401.14154052734375,70157100
2023-05-12,402.3971910059802,402.61132643811567,398.16316705924265,400.615966796875,70439400
2023-05-15,401.2291630110443,402.406893003121,399.2922309995601,401.99810791015625,54289400
2023-05-16,400.8787350116399,401.81316032040905,399.30193314595533,399.3116760253906,57705500
2023-05-17,401.355688524903,404.77208264872,399.6912898643818,404.1589050292969,87287000
2023-05-18,403.83767854650284,408.48051692312157,403.6138299565358,408.05224609375,97177200
2023-05-19,408.9671562498068,409.502479896127,406.2223378688356,407.4584655761719,103679700
2023-05-22,407.4779982453808,409.1813387574631,406.2223846365249,407.6239929199219,60745400
2023-05-23,405.9595245111102,407.55581200584857,402.65018349740916,403.04925537109375,86383500
2023-05-24,401.4238584672152,401.81318752027346,398.95157293924603,400.1293029785156,89213700
2023-05-25,403.681957155999,405.06410937954433,401.41409400851745,403.5943603515625,90961600
2023-05-26,404.25621217707396,409.55117004743295,404.1783582542306,408.8211669921875,93830000
2023-05-30,410.7776089610705,411.31293268499286,407.57532038572384,408.9769287109375,72216000
2023-05-31,407.1275733702995,408.0425129180875,405.1225006686962,406.70904541015625,110811800
2023-06-01,406.94265227579683,411.6438888093061,405.6773254680984,410.5732116699219,88865000
2023-06-02,413.18170178424987,417.30864261013363,412.64637812757286,416.5105285644531,91366700
2023-06-05,416.8609333270958,418.1652018562358,415.00185536054477,415.71240234375,65460200
2023-06-06,415.293890112602,417.15293844559983,414.6319980919554,416.61761474609375,64022200
2023-06-07,417.01668496272606,418.1652159848775,414.7487921488518,415.17706298828125,85373300
2023-06-08,415.2452070178747,418.1457632344052,414.4665489603408,417.68829345703125,61952800
2023-06-09,418.4961725304044,420.4720464169539,417.43523824687804,418.4377746582031,85742800
2023-06-12,419.4305474903507,422.3116177537034,418.70054447165705,422.2337341308594,76104300
2023-06-13,423.7132181007548,425.6696059560719,423.0416129596479,425.0174865722656,95899700
2023-06-14,425.35823089960877,427.3535608954838,422.02940357582685,425.523681640625,100612100
2023-06-15,424.6963189608391,432.06449062916386,424.599008978394,430.7991638183594,110303100
2023-06-16,432.8096761182953,433.3860747690242,428.85302867929283,429.33172607421875,114121300
2023-06-20,427.3681054754282,428.26688554723484,425.00386607669554,427.10430908203125,76160400
2023-06-21,426.1078078795827,426.9186657205313,424.3199672614879,424.9159240722656,76982300
2023-06-22,423.9488010837805,426.5572491119716,423.60686154285787,426.4497985839844,70637200
2023-06-23,422.9522539139059,425.03316856817855,422.50286388318995,423.2257995605469,92074500
2023-06-26,422.6493487527752,424.5934754368762,421.2523132944939,421.4965515136719,72823600
2023-06-27,422.3856167786235,426.74281861737984,421.9264476964196,426.1175842285156,72813700
2023-06-28,425.02340674295726,427.35833881179315,424.3981723027974,426.3325500488281,75636000
2023-06-29,425.91237462697876,428.1789124927861,425.5020711081389,428.0128173828125,67882300
